nom_lieu,com_lieu,Xlong,Ylat,nbre_pl,source,id_lieu,proprio
Aire de covoiturage du Bois de Lihus,Moyvillers,2.653599,49.404066,8,217602176,2,Conseil Dpt de l'Oise
Aire de covoiturage Paris Oise,Longueil-Sainte-Marie,2.696782,49.321332,97,217602176,3,SANEF
